
min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
2023-02-03T12:32:24 2023-02-03T18:22:12      18.92    399.054    835.467 
2023-02-04T11:51:36 2023-02-04T11:51:36    711.304    711.304    711.304 
2023-02-06T10:30:00 2023-02-06T16:19:48     14.975    279.461    543.946 
2023-02-07T09:49:12 2023-02-07T21:28:48    237.281    398.345    764.559 
2023-02-08T20:48:00 2023-02-08T20:48:00     41.317    409.266    777.214 
2023-02-09T08:27:36 2023-02-09T20:07:12     21.946     78.001    134.056 
2023-02-10T07:46:48 2023-02-10T13:36:36      4.415    322.346    640.278 
2023-02-13T05:44:24 2023-02-13T05:44:24    268.964    268.964    268.964 
2023-02-14T10:53:24 2023-02-14T10:53:24      44.76      44.76      44.76 
2023-02-15T10:12:36 2023-02-15T10:12:36    517.798    517.798    517.798 
2023-02-18T14:00:00 2023-02-18T14:00:00    428.994    428.994    428.994 
2023-02-19T01:39:36 2023-02-19T01:39:36     182.35     182.35     182.35 
2023-02-20T00:58:48 2023-02-20T00:58:48    397.111    397.111    397.111 
2023-02-21T17:47:24 2023-02-21T23:37:12     68.281    120.476    172.671 
2023-02-22T17:06:36 2023-02-22T17:06:36    429.122    429.122    429.122 
2023-02-23T22:15:36 2023-02-23T22:15:36     29.693     29.693     29.693 
2023-02-24T21:34:48 2023-02-24T21:34:48    269.792    349.314    428.837 
2023-02-26T08:33:36 2023-02-26T08:33:36    165.747    165.747    165.747 
2023-02-28T01:22:12 2023-02-28T01:22:12    119.137    119.137    119.137 
2023-03-01T12:21:00 2023-03-01T12:21:00      54.61      54.61      54.61 
2023-03-02T00:00:36 2023-03-02T11:40:12    343.856    360.906    377.957 
2023-03-03T10:59:24 2023-03-03T10:59:24    415.171    415.171    415.171 
2023-03-04T10:18:36 2023-03-04T10:18:36    184.876    184.876    184.876 
2023-03-05T15:27:36 2023-03-05T15:27:36    135.843    135.843    135.843 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-03-06T14:46:48 2023-03-06T14:46:48    586.775    586.775    586.775 
2023-03-08T01:45:36 2023-03-08T01:45:36     57.595     57.595     57.595 
2023-03-09T06:54:36 2023-03-09T12:44:24    339.414    385.431    431.448 
2023-03-10T06:13:48 2023-03-10T23:43:12      5.934    152.559    390.316 
2023-03-12T22:21:36 2023-03-12T22:21:36    299.461    299.461    299.461 
2023-03-13T15:51:00 2023-03-13T15:51:00     46.644     46.644     46.644 
2023-03-14T03:30:36 2023-03-14T15:10:12    104.909    190.355    333.405 
2023-03-15T02:49:48 2023-03-15T14:29:24     27.236    219.018    327.144 
2023-03-16T13:48:36 2023-03-16T13:48:36    282.868    282.868    282.868 
2023-03-19T17:36:00 2023-03-19T17:36:00    217.283    217.283    217.283 
2023-03-20T11:05:24 2023-03-20T16:55:12      3.239     70.566    117.285 
2023-03-21T04:34:48 2023-03-21T16:14:24     79.232    321.113    562.993 
2023-03-23T14:52:48 2023-03-23T20:42:36      6.567    141.491    227.879 
2023-03-24T08:22:12 2023-03-24T20:01:48    144.908    217.547    329.121 
2023-03-25T01:51:36 2023-03-25T01:51:36    168.246    168.246    168.246 
2023-03-26T12:50:24 2023-03-26T12:50:24     12.881     12.881     12.881 
2023-03-27T00:30:00 2023-03-27T17:59:24     20.733    414.189    713.174 
2023-03-28T17:18:36 2023-03-28T17:18:36     26.141     28.599     31.058 
2023-03-29T04:58:12 2023-03-29T22:27:36      139.1    316.973    494.845 
2023-03-31T15:16:12 2023-03-31T15:16:12    189.196    189.196    189.196 
2023-04-01T14:35:24 2023-04-01T14:35:24    353.445    353.445    353.445 
2023-04-02T08:04:48 2023-04-02T08:04:48    843.514    843.514    843.514 
2023-04-03T19:03:36 2023-04-03T19:03:36    241.021    241.021    241.021 
2023-04-05T17:42:00 2023-04-05T17:42:00     56.862     56.862     56.862 
2023-04-06T05:21:36 2023-04-06T17:01:12     49.017    172.868    296.718 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-04-07T22:10:12 2023-04-07T22:10:12    783.451    783.451    783.451 
2023-04-08T09:49:48 2023-04-08T09:49:48    231.956    231.956    231.956 
2023-04-09T09:09:00 2023-04-09T09:09:00     84.348     84.348     84.348 
2023-04-13T06:25:48 2023-04-13T12:15:36     76.287     96.752    117.218 
2023-04-14T23:14:24 2023-04-14T23:14:24    407.229    407.229    407.229 
2023-04-15T16:43:48 2023-04-15T16:43:48     84.876     84.876     84.876 
2023-04-16T10:13:12 2023-04-16T10:13:12    173.917    173.917    173.917 
2023-04-17T09:32:24 2023-04-17T15:22:12     96.978     313.26    529.541 
2023-04-19T14:00:36 2023-04-19T14:00:36     119.89     119.89     119.89 
2023-04-23T05:27:36 2023-04-23T05:27:36     56.583     56.583     56.583 
2023-04-25T04:06:00 2023-04-25T04:06:00    180.512    180.512    180.512 
2023-04-26T09:15:00 2023-04-26T09:15:00    346.731    346.731    346.731 
2023-04-27T20:13:48 2023-04-27T20:13:48    457.995    457.995    457.995 
2023-04-28T02:03:36 2023-04-28T02:03:36    165.291    165.291    165.291 
2023-04-29T07:12:36 2023-04-29T07:12:36    488.704    488.704    488.704 
2023-04-30T18:11:24 2023-04-30T18:11:24      2.008     36.361     70.715 
2023-05-02T05:10:12 2023-05-02T22:39:36     20.446     39.462     63.939 
2023-05-03T10:19:12 2023-05-03T10:19:12      90.95      90.95      90.95 
2023-05-04T03:48:36 2023-05-04T03:48:36    104.202    116.172    128.142 
2023-05-05T14:47:24 2023-05-05T20:37:12    113.307    320.576    527.844 
2023-05-06T14:06:36 2023-05-06T14:06:36    204.367    237.476    270.584 
2023-05-07T01:46:12 2023-05-07T01:46:12     38.634     38.634     38.634 
2023-05-08T18:34:48 2023-05-08T18:34:48    548.565    548.565    548.565 
2023-05-09T06:14:24 2023-05-09T23:43:48       0.45     70.945     176.15 
2023-05-10T05:33:36 2023-05-10T05:33:36     79.511    181.461     283.41 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-05-11T04:52:48 2023-05-11T16:32:24     26.376     129.71    193.824 
2023-05-12T04:12:00 2023-05-12T04:12:00    289.642    289.642    289.642 
2023-05-13T03:31:12 2023-05-13T21:00:36    150.666    355.386    803.601 
2023-05-15T07:59:24 2023-05-15T07:59:24    272.795    272.795    272.795 
2023-05-16T01:28:48 2023-05-16T01:28:48    544.356    544.356    544.356 
2023-05-17T06:37:48 2023-05-17T18:17:24     18.783      45.58     72.377 
2023-05-18T05:57:00 2023-05-18T23:26:24     18.496      51.95     85.404 
2023-05-19T05:16:12 2023-05-19T11:06:00    119.008    184.661    304.134 
2023-05-21T09:44:24 2023-05-21T09:44:24    255.886    255.886    255.886 
2023-05-22T14:53:24 2023-05-22T20:43:12      29.63     81.598    123.082 
2023-05-23T02:33:00 2023-05-23T02:33:00    469.357    469.357    469.357 
2023-05-24T13:31:48 2023-05-24T13:31:48     54.638    301.844     549.05 
2023-05-26T12:10:12 2023-05-26T23:49:48     96.214    324.589     689.33 
2023-05-27T11:29:24 2023-05-27T11:29:24     34.407     34.407     34.407 
2023-05-28T04:58:48 2023-05-28T16:38:24     61.205    224.952    346.166 
2023-05-29T04:18:00 2023-05-29T10:07:48     59.656    401.699    798.148 
2023-05-30T09:27:00 2023-05-30T09:27:00     87.551     87.551     87.551 
2023-05-31T08:46:12 2023-05-31T08:46:12    347.621    347.621    347.621 
2023-06-01T08:05:24 2023-06-01T08:05:24     362.55     362.55     362.55 
2023-06-02T01:34:48 2023-06-02T07:24:36    324.839     355.73    386.621 
2023-06-03T06:43:48 2023-06-03T06:43:48    387.256    387.256    387.256 
2023-06-04T00:13:12 2023-06-04T00:13:12     794.66     794.66     794.66 
2023-06-05T11:12:00 2023-06-05T11:12:00     72.517     72.517     72.517 
2023-06-06T22:10:48 2023-06-06T22:10:48     38.516     38.516     38.516 
2023-06-07T15:40:12 2023-06-07T21:30:00     38.005    177.418    447.791 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-06-08T14:59:24 2023-06-08T14:59:24    108.911    108.911    108.911 
2023-06-09T02:39:00 2023-06-09T02:39:00    238.827    238.827    238.827 
2023-06-11T12:57:00 2023-06-11T18:46:48     90.618    401.306    711.993 
2023-06-12T18:06:00 2023-06-12T23:55:48    138.896    251.857    364.818 
2023-06-15T21:53:24 2023-06-15T21:53:24     302.94     302.94     302.94 
2023-06-17T03:02:24 2023-06-17T08:52:12    298.797    377.375    455.954 
2023-06-18T19:51:00 2023-06-18T19:51:00    426.579    426.579    426.579 
2023-06-19T07:30:36 2023-06-19T07:30:36      36.26      36.26      36.26 
2023-06-20T06:49:48 2023-06-20T18:29:24     99.702    180.687    338.584 
2023-06-21T06:09:00 2023-06-21T17:48:36     21.728     77.416    125.354 
2023-06-22T22:57:36 2023-06-22T22:57:36      7.837      7.837      7.837 
2023-06-23T04:47:24 2023-06-23T04:47:24    395.175    395.175    395.175 
2023-06-24T04:06:36 2023-06-24T04:06:36    153.827    436.784    719.741 
2023-06-26T14:24:36 2023-06-26T14:24:36     21.267     21.267     21.267 
2023-06-28T01:23:24 2023-06-28T18:52:48    226.983    538.504    850.025 
2023-06-29T00:42:36 2023-06-29T00:42:36      0.728      0.728      0.728 
2023-06-30T17:31:12 2023-06-30T17:31:12    133.936    133.936    133.936 
2023-07-01T11:00:36 2023-07-01T11:00:36    189.869    270.228    384.535 
2023-07-02T10:19:48 2023-07-02T16:09:36     65.592    173.502    281.413 
2023-07-03T03:49:12 2023-07-03T21:18:36    536.889    567.957    599.024 
2023-07-05T14:07:12 2023-07-05T14:07:12     45.461     45.461     45.461 
2023-07-07T01:06:00 2023-07-07T18:35:24     69.481    314.471    595.868 
2023-07-08T17:54:36 2023-07-08T23:44:24     27.424    100.639    173.854 
2023-07-09T05:34:12 2023-07-09T23:03:36     28.922    277.263    714.451 
2023-07-10T22:22:48 2023-07-10T22:22:48     74.854     74.854     74.854 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-07-11T15:52:12 2023-07-11T21:42:00    284.361    354.216    471.569 
2023-07-12T09:21:36 2023-07-12T09:21:36    656.381    656.381    656.381 
2023-07-13T14:30:36 2023-07-13T14:30:36    468.617    468.617    468.617 
2023-07-14T02:10:12 2023-07-14T02:10:12     38.872     38.872     38.872 
2023-07-15T13:09:00 2023-07-15T18:58:48     37.097    227.549    341.431 
2023-07-16T18:18:00 2023-07-16T18:18:00    155.334    391.141    626.948 
2023-07-17T11:47:24 2023-07-17T17:37:12      8.303     40.511     72.719 
2023-07-18T16:56:24 2023-07-18T22:46:12     41.448    257.101    472.754 
2023-07-19T04:36:00 2023-07-19T04:36:00    208.324      265.8    323.277 
2023-07-20T03:55:12 2023-07-20T09:45:00     41.404    367.162    721.935 
2023-07-21T09:04:12 2023-07-21T14:54:00    395.738    401.512    407.286 
2023-07-22T08:23:24 2023-07-22T08:23:24    530.616    530.616    530.616 
2023-07-24T12:51:36 2023-07-24T12:51:36     28.761     28.761     28.761 
2023-07-25T23:50:24 2023-07-25T23:50:24     14.524     14.524     14.524 
2023-07-26T05:40:12 2023-07-26T17:19:48    113.341    180.328    301.316 
2023-07-27T04:59:24 2023-07-27T10:49:12     66.422     260.68    454.939 
2023-07-28T10:08:24 2023-07-28T21:48:00      0.902     21.758     42.614 
2023-07-29T03:37:48 2023-07-29T03:37:48      4.545    321.825    639.105 
2023-07-31T02:16:12 2023-07-31T02:16:12    550.304    550.304    550.304 
2023-08-01T01:35:24 2023-08-01T07:25:12     39.754     82.927    153.736 
2023-08-03T17:43:12 2023-08-03T17:43:12    277.238    277.238    277.238 
2023-08-04T22:52:12 2023-08-04T22:52:12    140.581    140.581    140.581 
2023-08-05T16:21:36 2023-08-05T22:11:24    125.216    165.684    206.151 
2023-08-06T04:01:12 2023-08-06T09:51:00    116.534    152.042    187.551 
2023-08-07T03:20:24 2023-08-07T20:49:48     36.635    155.805    274.976 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-08-08T02:39:36 2023-08-08T08:29:24    207.802    302.711    397.619 
2023-08-11T06:27:00 2023-08-11T06:27:00     59.345     59.345     59.345 
2023-08-12T17:25:48 2023-08-12T17:25:48    119.166    119.166    119.166 
2023-08-14T10:14:24 2023-08-14T21:54:00     29.995    322.007    792.987 
2023-08-15T03:43:48 2023-08-15T21:13:12    109.576    280.051    573.725 
2023-08-18T07:31:12 2023-08-18T19:10:48    350.641     477.63    604.618 
2023-08-19T01:00:36 2023-08-19T01:00:36      21.98      21.98      21.98 
2023-08-20T11:59:24 2023-08-20T23:39:00    418.347    555.626    692.906 
2023-08-21T22:58:12 2023-08-21T22:58:12       4.95    237.841    604.977 
2023-08-22T16:27:36 2023-08-22T16:27:36      5.953    312.381    618.809 
2023-08-23T15:46:48 2023-08-23T15:46:48    167.951    203.734    239.518 
2023-08-24T09:16:12 2023-08-24T20:55:48    304.647    496.433    688.219 
2023-08-25T02:45:36 2023-08-25T02:45:36    247.291    247.291    247.291 
2023-08-26T13:44:24 2023-08-26T13:44:24    221.969    221.969    221.969 
2023-08-27T18:53:24 2023-08-27T18:53:24    310.407    310.407    310.407 
2023-08-30T22:40:48 2023-08-30T22:40:48     99.871     99.871     99.871 
2023-08-31T16:10:12 2023-08-31T16:10:12      207.7      207.7      207.7 
2023-09-02T03:09:00 2023-09-02T14:48:36     22.021     39.367     61.987 
2023-09-03T02:28:12 2023-09-03T02:28:12     14.138     14.138     14.138 
2023-09-04T07:37:12 2023-09-04T07:37:12    121.857    121.857    121.857 
2023-09-05T01:06:36 2023-09-05T01:06:36    514.792    514.792    514.792 
2023-09-06T06:15:36 2023-09-06T23:45:00     149.13    445.633    626.657 
2023-09-07T05:34:48 2023-09-07T05:34:48    132.078    132.078    132.078 
2023-09-08T22:23:24 2023-09-08T22:23:24     16.677     16.677     16.677 
2023-09-09T15:52:48 2023-09-09T15:52:48     38.287     86.471    134.655 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-09-10T03:32:24 2023-09-10T09:22:12     36.979     38.957     40.936 
2023-09-12T02:10:48 2023-09-12T02:10:48    264.954    264.954    264.954 
2023-09-13T07:19:48 2023-09-13T13:09:36     80.502    225.703    312.652 
2023-09-14T12:28:48 2023-09-14T12:28:48      99.63      99.63      99.63 
2023-09-15T00:08:24 2023-09-15T17:37:48    140.946    267.986    435.293 
2023-09-16T11:07:12 2023-09-16T16:57:00     28.406     80.492    132.577 
2023-09-19T09:04:48 2023-09-19T09:04:48     12.912     12.912     12.912 
2023-09-20T08:24:00 2023-09-20T08:24:00    502.902    502.902    502.902 
2023-09-21T07:43:12 2023-09-21T13:33:00     99.881    287.049    474.217 
2023-09-23T06:21:36 2023-09-23T23:51:00    235.031     303.88    372.728 
2023-09-24T17:20:24 2023-09-24T23:10:12     27.774    238.702    620.443 
2023-09-25T22:29:24 2023-09-25T22:29:24    537.563    537.563    537.563 
2023-09-26T04:19:12 2023-09-26T15:58:48      0.359     46.865     99.538 
2023-09-28T08:47:24 2023-09-28T08:47:24      9.843     32.495     55.148 
2023-09-29T08:06:36 2023-09-29T08:06:36    105.126    105.126    105.126 
2023-09-30T19:05:24 2023-09-30T19:05:24    433.312    433.312    433.312 
2023-10-01T00:55:12 2023-10-01T00:55:12    206.968    206.968    206.968 
2023-10-02T00:14:24 2023-10-02T11:54:00    277.431    344.414    411.398 
2023-10-03T11:13:12 2023-10-03T11:13:12      32.98      32.98      32.98 
2023-10-04T04:42:36 2023-10-04T04:42:36     21.756     31.731     41.706 
2023-10-05T04:01:48 2023-10-05T09:51:36     51.005    205.785    360.566 
2023-10-06T09:10:48 2023-10-06T09:10:48     76.535     76.535     76.535 
2023-10-07T20:09:36 2023-10-07T20:09:36    425.756    425.756    425.756 
2023-10-08T19:28:48 2023-10-08T19:28:48    211.483    211.483    211.483 
2023-10-09T12:58:12 2023-10-09T12:58:12      1.608      1.608      1.608 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-10-11T05:46:48 2023-10-11T17:26:24      6.278     84.937    163.596 
2023-10-13T16:04:48 2023-10-13T16:04:48    411.655    411.655    411.655 
2023-10-14T09:34:12 2023-10-14T09:34:12    227.393    345.668    463.943 
2023-10-16T19:52:12 2023-10-16T19:52:12    192.192    192.192    192.192 
2023-10-19T00:20:24 2023-10-19T23:39:36      3.758    245.028    389.653 
2023-10-20T05:29:24 2023-10-20T05:29:24    157.381    157.381    157.381 
2023-10-21T16:28:12 2023-10-21T16:28:12    343.309    438.387    533.465 
2023-10-24T02:46:12 2023-10-24T02:46:12    137.162    137.162    137.162 
2023-10-25T07:55:12 2023-10-25T07:55:12    282.803    282.803    282.803 
2023-10-26T13:04:12 2023-10-26T13:04:12    732.819    732.819    732.819 
2023-10-27T00:43:48 2023-10-27T18:13:12    101.934     525.57    945.135 
2023-10-28T17:32:24 2023-10-28T17:32:24    305.893    305.893    305.893 
2023-10-29T05:12:00 2023-10-29T05:12:00    223.127    500.303    777.478 
2023-10-30T04:31:12 2023-10-30T04:31:12     22.917     22.917     22.917 
2023-10-31T15:30:00 2023-10-31T21:19:48     93.224    337.512    581.799 
2023-11-01T08:59:24 2023-11-01T14:49:12      1.926     62.326    128.112 
2023-11-02T02:28:48 2023-11-02T19:58:12    572.493    703.324    834.156 
2023-11-04T18:36:36 2023-11-04T18:36:36     86.761    409.698    732.636 
2023-11-07T16:34:12 2023-11-07T22:24:00     15.739     51.426     97.111 
2023-11-08T15:53:24 2023-11-08T15:53:24     74.765     74.765     74.765 
2023-11-09T21:02:24 2023-11-09T21:02:24      6.579      6.579      6.579 
2023-11-10T02:52:12 2023-11-10T02:52:12     286.53     286.53     286.53 
2023-11-12T01:30:36 2023-11-12T01:30:36     39.653    208.543    377.432 
2023-11-13T18:19:12 2023-11-13T18:19:12     33.544     33.544     33.544 
2023-11-14T00:09:00 2023-11-14T17:38:24     92.673    219.008    345.343 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-11-16T04:37:12 2023-11-16T16:16:48     28.771    275.537    745.444 
2023-11-18T20:45:00 2023-11-18T20:45:00     53.697     53.697     53.697 
2023-11-20T01:54:00 2023-11-20T01:54:00     126.97     126.97     126.97 
2023-11-21T01:13:12 2023-11-21T01:13:12    119.849    119.849    119.849 
2023-11-22T06:22:12 2023-11-22T06:22:12    202.303    202.303    202.303 
2023-11-23T11:31:12 2023-11-23T11:31:12    395.134    395.134    395.134 
2023-11-25T10:09:36 2023-11-25T21:49:12     23.307     79.638    135.969 
2023-11-27T02:58:12 2023-11-27T02:58:12    251.383    251.383    251.383 
2023-11-28T02:17:24 2023-11-28T08:07:12    195.294    407.646    619.998 
2023-11-29T01:36:36 2023-11-29T13:16:12     10.537    151.731     457.65 
2023-11-30T12:35:24 2023-11-30T18:25:12     88.974      92.69     96.406 
2023-12-01T06:04:48 2023-12-01T06:04:48    335.121    335.121    335.121 
2023-12-02T05:24:00 2023-12-02T17:03:36      6.577     201.79    455.241 
2023-12-03T22:12:36 2023-12-03T22:12:36    302.045    302.045    302.045 
2023-12-04T04:02:24 2023-12-04T04:02:24     21.664     21.664     21.664 
2023-12-05T09:11:24 2023-12-05T09:11:24     24.586     24.586     24.586 
2023-12-06T08:30:36 2023-12-06T08:30:36    499.703    499.703    499.703 
2023-12-07T07:49:48 2023-12-07T19:29:24     61.538    354.817    897.676 
2023-12-08T12:58:48 2023-12-08T12:58:48    333.859    333.859    333.859 
2023-12-11T05:06:36 2023-12-11T10:56:24     100.33      393.1    685.869 
2023-12-12T10:15:36 2023-12-12T16:05:24     18.475     58.718      98.96 
2023-12-15T02:23:24 2023-12-15T19:52:48     29.761    159.681     240.82 
2023-12-16T19:12:00 2023-12-16T19:12:00    348.935    348.935    348.935 
2023-12-17T01:01:48 2023-12-17T01:01:48    450.948    450.948    450.948 
2023-12-18T17:50:24 2023-12-18T17:50:24     73.084     73.084     73.084 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2023-12-19T22:59:24 2023-12-19T22:59:24    397.603    504.933    612.263 
2023-12-20T10:39:00 2023-12-20T22:18:36     10.091     64.132    118.172 
2023-12-21T04:08:24 2023-12-21T21:37:48     57.708      58.44     59.172 
2023-12-22T15:07:12 2023-12-22T20:57:00     44.061    159.722    283.049 
2023-12-24T02:06:00 2023-12-24T02:06:00      49.65      49.65      49.65 
2023-12-26T06:34:12 2023-12-26T06:34:12    246.365    246.365    246.365 
2023-12-28T05:12:36 2023-12-28T16:52:12      27.11    317.422    974.959 
2023-12-29T04:31:48 2023-12-29T10:21:36     47.065    374.854    702.643 
2023-12-30T21:20:24 2023-12-30T21:20:24     86.043    151.858    217.673 
2023-12-31T03:10:12 2023-12-31T03:10:12    342.472    342.472    342.472 
2024-01-01T08:19:12 2024-01-01T08:19:12    356.085    356.085    356.085 
2024-01-02T19:18:00 2024-01-02T19:18:00    242.953    242.953    242.953 
2024-01-03T18:37:12 2024-01-03T18:37:12    656.529    656.529    656.529 
2024-01-04T00:27:00 2024-01-04T00:27:00     80.593     80.593     80.593 
2024-01-05T05:36:00 2024-01-05T17:15:36     95.075     125.56    148.441 
2024-01-06T22:24:36 2024-01-06T22:24:36    743.686    743.686    743.686 
2024-01-07T10:04:12 2024-01-07T10:04:12    386.086    386.086    386.086 
2024-01-08T15:13:12 2024-01-08T15:13:12    227.219    227.219    227.219 
2024-01-09T20:22:12 2024-01-09T20:22:12    576.604    576.604    576.604 
2024-01-10T02:12:00 2024-01-10T02:12:00     66.448     66.448     66.448 
2024-01-11T01:31:12 2024-01-11T07:21:00     87.544     88.898     90.251 
2024-01-12T18:19:48 2024-01-12T18:19:48      1.203      1.203      1.203 
2024-01-13T11:49:12 2024-01-13T11:49:12      3.201    326.681    650.161 
2024-01-15T10:27:36 2024-01-15T10:27:36    100.317    175.373    250.428 
2024-01-16T03:57:00 2024-01-16T21:26:24    175.189    465.237    677.702 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2024-01-18T02:35:24 2024-01-18T20:04:48    161.618    206.558    251.499 
2024-01-20T07:03:36 2024-01-20T18:43:12     90.036    116.897    143.759 
2024-01-21T12:12:36 2024-01-21T23:52:12     31.947    195.885    359.822 
2024-01-22T05:42:00 2024-01-22T17:21:36      116.2    233.544    350.888 
2024-01-23T16:40:48 2024-01-23T22:30:36      3.544      28.15     73.976 
2024-01-24T04:20:24 2024-01-24T21:49:48     34.598    260.198    576.529 
2024-01-25T09:29:24 2024-01-25T09:29:24     39.347    408.793     778.24 
2024-01-26T14:38:24 2024-01-26T20:28:12      0.529    319.554    638.343 
2024-01-27T02:18:00 2024-01-27T13:57:36     63.667    189.636    432.607 
2024-01-28T01:37:12 2024-01-28T19:06:36     30.796    176.286    408.921 
2024-01-29T06:46:12 2024-01-29T06:46:12    258.906    445.333    631.761 
2024-01-31T05:24:36 2024-01-31T11:14:24    254.758    304.933    355.107 
2024-02-02T09:52:48 2024-02-02T09:52:48     10.454     10.454     10.454 
2024-02-03T03:22:12 2024-02-03T09:12:00     11.862    281.113    550.364 
2024-02-04T14:21:00 2024-02-04T20:10:48      5.574    180.688    355.801 
2024-02-06T12:59:24 2024-02-06T12:59:24    313.613    313.613    313.613 
2024-02-07T00:39:00 2024-02-07T18:08:24    119.929    249.457     373.52 
2024-02-08T05:48:00 2024-02-08T05:48:00    326.332    326.332    326.332 
2024-02-09T10:57:00 2024-02-09T10:57:00    213.219    213.219    213.219 
2024-02-10T21:55:48 2024-02-10T21:55:48    589.939    589.939    589.939 
2024-02-11T03:45:36 2024-02-11T15:25:12     94.308    232.868    371.429 
2024-02-12T14:44:24 2024-02-12T14:44:24     64.173     64.173     64.173 
2024-02-13T02:24:00 2024-02-13T19:53:24     43.301    159.372    228.945 
2024-02-15T01:02:24 2024-02-15T18:31:48    118.044    430.603    698.733 
2024-02-16T12:01:12 2024-02-16T12:01:12    356.037    356.037    356.037 

min(timestamp)      max(timestamp)      min(value) avg(value) max(value)
------------------- ------------------- ---------- ---------- ---------- 
2024-02-17T05:30:36 2024-02-17T23:00:00     44.527    490.736    763.876 
2024-02-19T09:58:48 2024-02-19T21:38:24     79.511     168.54    308.793 
2024-02-20T03:28:12 2024-02-20T20:57:36     54.455    289.306    690.082 
2024-02-21T02:47:24 2024-02-21T02:47:24    389.571    389.571    389.571 
2024-02-22T07:56:24 2024-02-22T07:56:24    703.341    703.341    703.341 
2024-02-26T22:42:36 2024-02-26T22:42:36    502.608    502.608    502.608 
2024-02-27T10:22:12 2024-02-27T10:22:12    266.052    275.125    284.197 
2024-02-28T15:31:12 2024-02-28T15:31:12      4.994      4.994      4.994 
2024-02-29T09:00:36 2024-02-29T09:00:36    265.847    265.847    265.847 
2024-03-01T14:09:36 2024-03-01T14:09:36    178.615    178.615    178.615 
2024-03-02T07:39:00 2024-03-02T07:39:00     80.984     80.984     80.984 
2024-03-03T01:08:24 2024-03-03T01:08:24    169.528    243.452    317.376 
2024-03-04T00:27:36 2024-03-04T06:17:24    235.108     420.26    605.413 
